dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered
1,0,0,2020-01-30,1,0,0
0,0,0,2020-01-31,1,0,0
0,0,0,2020-02-01,1,0,0
1,0,0,2020-02-02,2,0,0
1,0,0,2020-02-03,3,0,0
0,0,0,2020-02-04,3,0,0
0,0,0,2020-02-05,3,0,0
0,0,0,2020-02-06,3,0,0
0,0,0,2020-02-07,3,0,0
0,0,0,2020-02-08,3,0,0
0,0,0,2020-02-09,3,0,0
0,0,0,2020-02-10,3,0,0
0,0,0,2020-02-11,3,0,0
0,0,0,2020-02-12,3,0,0
0,0,1,2020-02-13,3,0,1
0,0,0,2020-02-14,3,0,1
0,0,0,2020-02-15,3,0,1
0,0,1,2020-02-16,3,0,2
0,0,0,2020-02-17,3,0,2
0,0,0,2020-02-18,3,0,2
0,0,0,2020-02-19,3,0,2
0,0,1,2020-02-20,3,0,3
0,0,0,2020-02-21,3,0,3
0,0,0,2020-02-22,3,0,3
0,0,0,2020-02-23,3,0,3
0,0,0,2020-02-24,3,0,3
0,0,0,2020-02-25,3,0,3
0,0,0,2020-02-26,3,0,3
0,0,0,2020-02-27,3,0,3
0,0,0,2020-02-28,3,0,3
0,0,0,2020-02-29,3,0,3
0,0,0,2020-03-01,3,0,3
2,0,0,2020-03-02,5,0,3
1,0,0,2020-03-03,6,0,3
22,0,0,2020-03-04,28,0,3
2,0,0,2020-03-05,30,0,3
1,0,0,2020-03-06,31,0,3
3,0,0,2020-03-07,34,0,3
5,0,0,2020-03-08,39,0,3
9,0,0,2020-03-09,48,0,3
15,0,1,2020-03-10,63,0,4
8,0,0,2020-03-11,71,0,4
10,1,0,2020-03-12,81,1,4
10,0,6,2020-03-13,91,1,10
11,1,0,2020-03-14,102,2,10
10,0,3,2020-03-15,112,2,13
14,0,1,2020-03-16,126,2,14
20,1,1,2020-03-17,146,3,15
25,0,0,2020-03-18,171,3,15
27,1,5,2020-03-19,198,4,20
58,0,3,2020-03-20,256,4,23
78,0,0,2020-03-21,334,4,23
69,3,0,2020-03-22,403,7,23
94,2,2,2020-03-23,497,9,25
74,1,15,2020-03-24,571,10,40
86,1,3,2020-03-25,657,11,43
73,5,7,2020-03-26,730,16,50
153,3,25,2020-03-27,883,19,75
136,5,10,2020-03-28,1019,24,85
120,3,17,2020-03-29,1139,27,102
187,14,35,2020-03-30,1326,41,137
309,6,13,2020-03-31,1635,47,150
424,6,19,2020-04-01,2059,53,169
486,16,22,2020-04-02,2545,69,191
560,14,39,2020-04-03,3105,83,230
579,13,56,2020-04-04,3684,96,286
609,22,43,2020-04-05,4293,118,329
484,16,65,2020-04-06,4777,134,394
573,27,75,2020-04-07,5350,161,469
565,20,96,2020-04-08,5915,181,565
813,46,70,2020-04-09,6728,227,635
871,22,151,2020-04-10,7599,249,786
854,41,186,2020-04-11,8453,290,972
758,42,114,2020-04-12,9211,332,1086
1243,27,112,2020-04-13,10454,359,1198
1031,37,167,2020-04-14,11485,396,1365
886,27,144,2020-04-15,12371,423,1509
1061,26,258,2020-04-16,13432,449,1767
922,38,273,2020-04-17,14354,487,2040
1371,35,426,2020-04-18,15725,522,2466
1580,38,388,2020-04-19,17305,560,2854
1239,33,419,2020-04-20,18544,593,3273
1537,53,703,2020-04-21,20081,646,3976
1292,36,394,2020-04-22,21373,682,4370
1667,40,642,2020-04-23,23040,722,5012
1408,59,484,2020-04-24,24448,781,5496
1835,44,442,2020-04-25,26283,825,5938
1607,56,585,2020-04-26,27890,881,6523
1568,58,580,2020-04-27,29458,939,7103
1902,69,636,2020-04-28,31360,1008,7739
1705,71,690,2020-04-29,33065,1079,8429
1801,75,630,2020-04-30,34866,1154,9059
2396,77,962,2020-05-01,37262,1231,10021
2564,92,831,2020-05-02,39826,1323,10852
2952,140,911,2020-05-03,42778,1463,11763
3656,103,1082,2020-05-04,46434,1566,12845
2971,128,1295,2020-05-05,49405,1694,14140
3602,91,1161,2020-05-06,53007,1785,15301
3344,104,1475,2020-05-07,56351,1889,16776
3339,97,1111,2020-05-08,59690,1986,17887
3175,115,1414,2020-05-09,62865,2101,19301
4311,112,1669,2020-05-10,67176,2213,20970
3592,81,1579,2020-05-11,70768,2294,22549
3562,120,1905,2020-05-12,74330,2414,24454
3726,137,1963,2020-05-13,78056,2551,26417
3991,97,1594,2020-05-14,82047,2648,28011
3808,104,2234,2020-05-15,85855,2752,30245
4794,120,4012,2020-05-16,90649,2872,34257
5049,152,2538,2020-05-17,95698,3024,36795
4628,131,2482,2020-05-18,100326,3155,39277
6154,146,3032,2020-05-19,106480,3301,42309
5720,134,3113,2020-05-20,112200,3435,45422
6023,148,3131,2020-05-21,118223,3583,48553
6536,142,3280,2020-05-22,124759,3725,51833
6667,142,2576,2020-05-23,131424,3867,54409
7111,156,3285,2020-05-24,138537,4023,57694
6414,150,3012,2020-05-25,144951,4173,60706
5907,173,3585,2020-05-26,150858,4346,64291
7246,188,3434,2020-05-27,158104,4534,67725
7254,176,3171,2020-05-28,165358,4710,70896
8138,269,11735,2020-05-29,173496,4979,82631
8364,205,4303,2020-05-30,181860,5184,86934
8789,222,4928,2020-05-31,190649,5406,91862
7724,201,3892,2020-06-01,198373,5607,95754
